History of test2 for windows-x64
buildid	target		name	status	duration	physmemory	virtmemory	create time	testnode
85926	windows-x64	bricscad-trunk	success	0,4435	221	241	Tue Feb 24 2015 10:03:57	TestNodeWin108	
85921	windows-x64	bricscad-trunk	success	0,4450	221	241	Tue Feb 24 2015 09:43:38	TestNodeWin112	
85916	windows-x64	bricscad-trunk	success	0,4513	222	241	Tue Feb 24 2015 08:44:28	TestNodeWin109	
85910	windows-x64	bricscad-trunk	success	0,4322	222	241	Tue Feb 24 2015 03:25:32	TestNodeWin109	
85884	windows-x64	bricscad-trunk	success	0,4438	220	241	Mon Feb 23 2015 18:58:31	TestNodeWin106	
85867	windows-x64	mcad-trunk	success	0,4149	188	221	Mon Feb 23 2015 18:21:16	TestNodeWin104	
85863	windows-x64	bricscad-trunk	success	0,4388	222	241	Mon Feb 23 2015 18:04:32	TestNodeWin109	
85858	windows-x64	bricscad-trunk	success	0,4424	221	241	Mon Feb 23 2015 17:43:39	TestNodeWin111	
85853	windows-x64	bricscad-trunk	success	0,4356	219	240	Mon Feb 23 2015 17:23:35	TestNodeWin105	
85851	windows-x64	mcad-trunk	success	0,4504	188	221	Mon Feb 23 2015 16:58:48	TestNodeWin109	
85847	windows-x64	bricscad-trunk	success	0,4405	219	240	Mon Feb 23 2015 16:54:37	TestNodeWin105	
85845	windows-x64	mcad-trunk	success	0,4400	188	221	Mon Feb 23 2015 16:07:47	TestNodeWin111	
85841	windows-x64	bricscad-trunk	success	0,4372	219	240	Mon Feb 23 2015 15:31:01	TestNodeWin105	
85839	windows-x64	mcad-trunk	success	0,4289	188	222	Mon Feb 23 2015 15:23:29	TestNodeWin111	
85835	windows-x64	bricscad-trunk	success	0,4359	222	241	Mon Feb 23 2015 14:51:02	TestNodeWin109	
85830	windows-x64	bricscad-trunk	success	0,4330	222	241	Mon Feb 23 2015 13:13:07	TestNodeWin110	
85825	windows-x64	bricscad-trunk	success	0,4302	222	241	Mon Feb 23 2015 13:06:55	TestNodeWin110	
85820	windows-x64	bricscad-trunk	success	0,4402	221	241	Mon Feb 23 2015 12:27:37	TestNodeWin108	
85818	windows-x64	mcad-trunk	success	0,4174	187	222	Mon Feb 23 2015 11:30:23	TestNodeWin106	
85814	windows-x64	bricscad-trunk	success	0,4277	222	241	Mon Feb 23 2015 10:50:24	TestNodeWin109	
85809	windows-x64	bricscad-trunk	success	0,4322	221	241	Mon Feb 23 2015 09:11:46	TestNodeWin108	
85801	windows-x64	bricscad-trunk	success	0,4289	222	241	Mon Feb 23 2015 00:44:37	TestNodeWin109	
85796	windows-x64	bricscad-trunk	success	0,4391	221	241	Sun Feb 22 2015 23:41:04	TestNodeWin108	
85790	windows-x64	bricscad-trunk	success	0,4384	221	241	Sun Feb 22 2015 19:08:04	TestNodeWin112	
85784	windows-x64	bricscad-trunk	success	0,4300	221	241	Sun Feb 22 2015 07:09:52	TestNodeWin107	
85774	windows-x64	bricscad-trunk	success	0,4523	222	241	Sun Feb 22 2015 04:44:07	TestNodeWin109	
85764	windows-x64	bricscad-trunk	success	0,4372	221	241	Sun Feb 22 2015 02:38:48	TestNodeWin112	
85748	windows-x64	bricscad-trunk	success	0,4304	219	240	Sat Feb 21 2015 20:53:56	TestNodeWin105	
85743	windows-x64	bricscad-trunk	success	0,4320	221	241	Sat Feb 21 2015 20:01:20	TestNodeWin112	
85738	windows-x64	bricscad-trunk	success	0,4473	222	241	Sat Feb 21 2015 17:58:54	TestNodeWin109	
85728	windows-x64	bricscad-trunk	success	0,4395	221	241	Sat Feb 21 2015 16:42:33	TestNodeWin112	
85723	windows-x64	bricscad-trunk	success	0,4388	222	241	Sat Feb 21 2015 15:51:40	TestNodeWin110	
85718	windows-x64	bricscad-trunk	success	0,3996	221	240	Sat Feb 21 2015 04:14:47	TestNodeWin104	
85708	windows-x64	bricscad-trunk	success	0,4363	221	241	Fri Feb 20 2015 22:35:28	TestNodeWin108	
85698	windows-x64	bricscad-trunk	success	0,4130	221	240	Fri Feb 20 2015 20:35:25	TestNodeWin104	
85693	windows-x64	bricscad-trunk	success	0,4368	222	242	Fri Feb 20 2015 19:58:50	TestNodeWin110	
85688	windows-x64	bricscad-trunk	success	0,4411	220	241	Fri Feb 20 2015 19:43:59	TestNodeWin106	
85678	windows-x64	bricscad-trunk	success	0,4302	219	240	Fri Feb 20 2015 17:43:18	TestNodeWin105	
85673	windows-x64	bricscad-trunk	success	0,3813	221	240	Fri Feb 20 2015 16:51:54	TestNodeWin113	
85663	windows-x64	bricscad-trunk	success	0,3720	221	240	Fri Feb 20 2015 16:37:26	TestNodeWin113	
85658	windows-x64	bricscad-trunk	success	0,4271	221	241	Fri Feb 20 2015 15:52:01	TestNodeWin111	
85656	windows-x64	mcad-trunk	success	0,3841	187	221	Fri Feb 20 2015 14:05:02	TestNodeWin113	
85655	windows-x64	mcad-trunk	success	0,4308	188	222	Fri Feb 20 2015 13:33:50	TestNodeWin111	
85654	windows-x64	mcad-trunk	success	0,4348	187	222	Fri Feb 20 2015 13:30:30	TestNodeWin106	
85653	windows-x64	mcad-trunk	success	0,4372	188	222	Fri Feb 20 2015 12:38:56	TestNodeWin111	
85652	windows-x64	mcad-trunk	success	0,3825	187	221	Fri Feb 20 2015 12:36:00	TestNodeWin113	
85651	windows-x64	mcad-trunk	success	0,4321	186	221	Fri Feb 20 2015 11:52:59	TestNodeWin105	
85649	windows-x64	mcad-trunk	success	0,3958	187	221	Fri Feb 20 2015 11:39:43	TestNodeWin113	
85648	windows-x64	mcad-trunk	success	0,3825	187	221	Fri Feb 20 2015 11:02:19	TestNodeWin113	
85646	windows-x64	mcad-trunk	success	0,4092	188	221	Fri Feb 20 2015 10:58:54	TestNodeWin104	
