History of test1 for windows-x64
buildid	target		name	status	duration	physmemory	virtmemory	create time	testnode
85790 	windows-x64 	bricscad-trunk 	success 	3.4870		237 	259 	Sun Feb 22 2015 19:08:04 	TestNodeWin112 	
85784 	windows-x64 	bricscad-trunk 	success 	3.4807		237 	261 	Sun Feb 22 2015 07:09:52 	TestNodeWin107 	
85774 	windows-x64 	bricscad-trunk 	success 	3.5328		237 	259 	Sun Feb 22 2015 04:44:07 	TestNodeWin109 	
85764 	windows-x64 	bricscad-trunk 	success 	3.4878		237 	259 	Sun Feb 22 2015 02:38:48 	TestNodeWin112 	
85748 	windows-x64 	bricscad-trunk 	success 	3.4617		234 	258 	Sat Feb 21 2015 20:53:56 	TestNodeWin105 	
85743 	windows-x64 	bricscad-trunk 	success 	3.4659		237 	258 	Sat Feb 21 2015 20:01:20 	TestNodeWin112 	
85738 	windows-x64 	bricscad-trunk 	success 	3.4797		238 	259 	Sat Feb 21 2015 17:58:54 	TestNodeWin109 	
85728 	windows-x64 	bricscad-trunk 	success 	3.4774		237 	259 	Sat Feb 21 2015 16:42:33 	TestNodeWin112 	
85723 	windows-x64 	bricscad-trunk 	success 	3.4861		237 	257 	Sat Feb 21 2015 15:51:40 	TestNodeWin110 	
85718 	windows-x64 	bricscad-trunk 	success 	3.3143		236 	257 	Sat Feb 21 2015 04:14:47 	TestNodeWin104 	
85708 	windows-x64 	bricscad-trunk 	success 	3.4945		237 	258 	Fri Feb 20 2015 22:35:28 	TestNodeWin108 	
85698 	windows-x64 	bricscad-trunk 	success 	3.2984		236 	256 	Fri Feb 20 2015 20:35:25 	TestNodeWin104 	
85693 	windows-x64 	bricscad-trunk 	success 	3.4894		239 	260 	Fri Feb 20 2015 19:58:50 	TestNodeWin110 	
85688 	windows-x64 	bricscad-trunk 	success 	3.5580		236 	259 	Fri Feb 20 2015 19:43:59 	TestNodeWin106 	
85678 	windows-x64 	bricscad-trunk 	success 	3.4403		235 	258 	Fri Feb 20 2015 17:43:18 	TestNodeWin105 	
85673 	windows-x64 	bricscad-trunk 	success 	3.0943		237 	260 	Fri Feb 20 2015 16:51:54 	TestNodeWin113 	
85663 	windows-x64 	bricscad-trunk 	success 	3.0748		236 	258 	Fri Feb 20 2015 16:37:26 	TestNodeWin113 	
85658 	windows-x64 	bricscad-trunk 	success 	3.4848		237 	260 	Fri Feb 20 2015 15:52:01 	TestNodeWin111 	
85656 	windows-x64 	mcad-trunk 	success 	3.1314		201 	239 	Fri Feb 20 2015 14:05:02 	TestNodeWin113 	
85655 	windows-x64 	mcad-trunk 	success 	3.4888		201 	239 	Fri Feb 20 2015 13:33:50 	TestNodeWin111 	
85654 	windows-x64 	mcad-trunk 	success 	3.5687		201 	242 	Fri Feb 20 2015 13:30:30 	TestNodeWin106 	
85653 	windows-x64 	mcad-trunk 	success 	3.4594		202 	245 	Fri Feb 20 2015 12:38:56 	TestNodeWin111 	
85652 	windows-x64 	mcad-trunk 	success 	3.1024		200 	240 	Fri Feb 20 2015 12:36:00 	TestNodeWin113 	
85651 	windows-x64 	mcad-trunk 	success 	3.4866		200 	240 	Fri Feb 20 2015 11:52:59 	TestNodeWin105 	
85649 	windows-x64 	mcad-trunk 	success 	3.1217		201 	242 	Fri Feb 20 2015 11:39:43 	TestNodeWin113 	
85648 	windows-x64 	mcad-trunk 	success 	3.0838		201 	241 	Fri Feb 20 2015 11:02:19 	TestNodeWin113 	
85646 	windows-x64 	mcad-trunk 	success 	3.3098		201 	237 	Fri Feb 20 2015 10:58:54 	TestNodeWin104 	
85645 	windows-x64 	mcad-trunk 	success 	3.0497		202 	241 	Fri Feb 20 2015 10:58:32 	TestNodeWin113 	
85644 	windows-x64 	mcad-trunk 	success 	3.1038		201 	241 	Fri Feb 20 2015 10:57:16 	TestNodeWin113 	
85640 	windows-x64 	bricscad-trunk 	success 	3.1151		237 	259 	Fri Feb 20 2015 10:46:42 	TestNodeWin113 	
85638 	windows-x64 	mcad-trunk 	success 	3.0767		201 	240 	Fri Feb 20 2015 10:08:00 	TestNodeWin113 	
85637 	windows-x64 	mcad-trunk 	success 	3.4683		201 	241 	Fri Feb 20 2015 10:04:35 	TestNodeWin112 	
85628 	windows-x64 	bricscad-trunk 	success 	3.4509		235 	259 	Fri Feb 20 2015 08:01:26 	TestNodeWin105 	
85623 	windows-x64 	bricscad-trunk 	success 	3.4918		237 	259 	Fri Feb 20 2015 06:43:59 	TestNodeWin108 	
85617 	windows-x64 	bricscad-trunk 	success 	3.5106		237 	258 	Fri Feb 20 2015 05:59:11 	TestNodeWin109 	
85611 	windows-x64 	bricscad-trunk 	success 	3.4600		237 	259 	Fri Feb 20 2015 04:58:49 	TestNodeWin108 	
85601 	windows-x64 	bricscad-trunk 	success 	3.5038		237 	258 	Fri Feb 20 2015 04:01:55 	TestNodeWin110 	
85591 	windows-x64 	bricscad-trunk 	success 	3.4669		236 	258 	Thu Feb 19 2015 21:42:12 	TestNodeWin107 	
85580 	windows-x64 	bricscad-trunk 	success 	3.4330		235 	258 	Thu Feb 19 2015 20:16:36 	TestNodeWin105 	
85578 	windows-x64 	mcad-trunk 	success 	3.4990		202 	239 	Thu Feb 19 2015 20:05:46 	TestNodeWin109 	
85577 	windows-x64 	mcad-trunk 	success 	3.4937		201 	242 	Thu Feb 19 2015 19:52:05 	TestNodeWin112 	
85568 	windows-x64 	bricscad-trunk 	success 	3.4468		236 	259 	Thu Feb 19 2015 19:02:13 	TestNodeWin107 	
85562 	windows-x64 	bricscad-trunk 	success 	3.4617		234 	256 	Thu Feb 19 2015 18:28:11 	TestNodeWin105 	
85557 	windows-x64 	bricscad-trunk 	success 	3.4810		234 	258 	Thu Feb 19 2015 18:10:53 	TestNodeWin105 	
85555 	windows-x64 	mcad-trunk 	success 	3.4877		201 	240 	Thu Feb 19 2015 17:49:18 	TestNodeWin112 	
85554 	windows-x64 	mcad-trunk 	success 	3.4996		200 	238 	Thu Feb 19 2015 17:48:07 	TestNodeWin106 	
85550 	windows-x64 	bricscad-trunk 	success 	3.4841		234 	257 	Thu Feb 19 2015 17:31:04 	TestNodeWin105 	
85548 	windows-x64 	mcad-trunk 	success 	3.5038		201 	239 	Thu Feb 19 2015 17:29:23 	TestNodeWin111 	
85547 	windows-x64 	mcad-trunk 	success 	3.0809		200 	239 	Thu Feb 19 2015 17:23:02 	TestNodeWin113 	
85543 	windows-x64 	bricscad-trunk 	success 	3.4579		234 	258 	Thu Feb 19 2015 16:59:42 	TestNodeWin105 	
85542 	windows-x64 	mcad-trunk 	success 	3.3393		201 	242 	Thu Feb 19 2015 16:59:41 	TestNodeWin104 	
85533 	windows-x64 	mcad-trunk 	success 	3.4963		202 	243 	Thu Feb 19 2015 16:46:54 	TestNodeWin109 	
85532 	windows-x64 	mcad-trunk 	success 	3.3944		201 	239 	Thu Feb 19 2015 16:11:35 	TestNodeWin104 	
85528 	windows-x64 	bricscad-trunk 	success 	3.4599		238 	262 	Thu Feb 19 2015 15:51:26 	TestNodeWin112 	
85526 	windows-x64 	mcad-trunk 	success 	3.0543		200 	239 	Thu Feb 19 2015 15:23:15 	TestNodeWin113 	
85525 	windows-x64 	mcad-trunk 	success 	3.4742		201 	239 	Thu Feb 19 2015 14:55:36 	TestNodeWin112 	
85519 	windows-x64 	bricscad-trunk 	success 	3.3124		236 	258 	Thu Feb 19 2015 12:43:25 	TestNodeWin104 	
85513 	windows-x64 	bricscad-trunk 	success 	3.4691		238 	260 	Thu Feb 19 2015 12:15:17 	TestNodeWin107 	
85510 	windows-x64 	mcad-trunk 	success 	3.0766		201 	241 	Thu Feb 19 2015 12:06:15 	TestNodeWin113 	
85506 	windows-x64 	bricscad-trunk 	success 	3.4980		236 	258 	Thu Feb 19 2015 10:47:26 	TestNodeWin108 	
85501 	windows-x64 	bricscad-trunk 	success 	3.4545		236 	260 	Thu Feb 19 2015 07:54:25 	TestNodeWin107 	
85496 	windows-x64 	bricscad-trunk 	success 	3.5023		237 	259 	Thu Feb 19 2015 04:56:06 	TestNodeWin110 	
85490 	windows-x64 	bricscad-trunk 	success 	3.0408		236 	259 	Thu Feb 19 2015 04:31:47 	TestNodeWin113 	
85485 	windows-x64 	bricscad-trunk 	success 	3.4817		236 	259 	Thu Feb 19 2015 02:48:45 	TestNodeWin106 	
85478 	windows-x64 	bricscad-trunk 	success 	3.4980		236 	260 	Wed Feb 18 2015 20:47:59 	TestNodeWin110 	
85473 	windows-x64 	bricscad-trunk 	success 	3.5024		237 	261 	Wed Feb 18 2015 20:36:34 	TestNodeWin111 	
85468 	windows-x64 	bricscad-trunk 	success 	3.2963		237 	259 	Wed Feb 18 2015 19:39:14 	TestNodeWin104 	
85463 	windows-x64 	mcad-trunk 	success 	3.1047		201 	240 	Wed Feb 18 2015 18:45:58 	TestNodeWin113 	
85462 	windows-x64 	mcad-trunk 	success 	3.0820		200 	238 	Wed Feb 18 2015 17:36:25 	TestNodeWin113 	
85461 	windows-x64 	mcad-trunk 	success 	3.5140		203 	239 	Wed Feb 18 2015 17:34:54 	TestNodeWin109 	
85456 	windows-x64 	bricscad-trunk 	success 	3.4597		236 	259 	Wed Feb 18 2015 17:17:15 	TestNodeWin111 	
85442 	windows-x64 	bricscad-trunk 	success 	3.4547		234 	258 	Wed Feb 18 2015 16:34:36 	TestNodeWin105 	
85440 	windows-x64 	mcad-trunk 	success 	3.4206		201 	240 	Wed Feb 18 2015 16:26:19 	TestNodeWin111 	
85439 	windows-x64 	mcad-trunk 	success 	3.4626		201 	244 	Wed Feb 18 2015 16:21:07 	TestNodeWin111 	
85435 	windows-x64 	bricscad-trunk 	success 	3.4731		237 	259 	Wed Feb 18 2015 16:15:15 	TestNodeWin112 	
85434 	windows-x64 	mcad-trunk 	success 	3.4388		202 	243 	Wed Feb 18 2015 16:15:15 	TestNodeWin110 	
85432 	windows-x64 	mcad-trunk 	success 	3.4828		202 	243 	Wed Feb 18 2015 15:50:15 	TestNodeWin111 	
85431 	windows-x64 	mcad-trunk 	success 	3.4759		202 	240 	Wed Feb 18 2015 15:43:44 	TestNodeWin112 	
85427 	windows-x64 	bricscad-trunk 	success 	3.0014		235 	256 	Wed Feb 18 2015 15:38:45 	TestNodeWin113 	
85421 	windows-x64 	bricscad-trunk 	success 	3.4560		236 	258 	Wed Feb 18 2015 15:25:39 	TestNodeWin111 	
85416 	windows-x64 	bricscad-trunk 	success 	3.4579		236 	260 	Wed Feb 18 2015 15:04:31 	TestNodeWin106 	
85409 	windows-x64 	mcad-trunk 	success 	3.4327		202 	242 	Wed Feb 18 2015 14:42:58 	TestNodeWin110 	
85408 	windows-x64 	mcad-trunk 	success 	3.2799		200 	239 	Wed Feb 18 2015 13:51:22 	TestNodeWin104 	
85407 	windows-x64 	mcad-trunk 	success 	3.4532		199 	239 	Wed Feb 18 2015 13:37:39 	TestNodeWin105 	
85405 	windows-x64 	mcad-trunk 	success 	3.4661		201 	240 	Wed Feb 18 2015 12:51:53 	TestNodeWin109 	
85404 	windows-x64 	mcad-trunk 	success 	3.4729		201 	240 	Wed Feb 18 2015 12:47:33 	TestNodeWin108 	
85402 	windows-x64 	mcad-trunk 	success 	3.4575		201 	242 	Wed Feb 18 2015 12:04:30 	TestNodeWin107 	
85401 	windows-x64 	mcad-trunk 	success 	3.0676		201 	243 	Wed Feb 18 2015 12:01:25 	TestNodeWin113 	
85400 	windows-x64 	mcad-trunk 	success 	3.4411		199 	242 	Wed Feb 18 2015 11:10:17 	TestNodeWin105 	
85399 	windows-x64 	mcad-trunk 	success 	2.9928		200 	239 	Wed Feb 18 2015 10:39:22 	TestNodeWin113 	
85398 	windows-x64 	mcad-trunk 	success 	3.4464		202 	243 	Wed Feb 18 2015 10:11:54 	TestNodeWin109 	
85397 	windows-x64 	mcad-trunk 	success 	3.4456		201 	246 	Wed Feb 18 2015 10:05:46 	TestNodeWin112 	
85395 	windows-x64 	mcad-trunk 	success 	3.0018		200 	240 	Tue Feb 17 2015 23:27:38 	TestNodeWin113 	
